Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Zane Green,Namibia,Wicketkeeper Batter,false,false,false,27y 212d,Left hand Bat,,4,3,,29,33,28,9.66,87.87,,,1,1,1,,,,,,,,,,,,,
JP Kotze,Namibia,Batter,false,false,false,30y 17d,Left hand Bat,,2,1,,,3,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Malan Kruger,Namibia,Batter,false,false,false,29y 28d,Right hand Bat,,2,2,1,3,9,2,3.00,33.33,,,,0,0,,,,,,,,,,,,,
Dylan Leicher,Namibia,Middle order Batter,false,false,false,20y 7d,Right hand Bat,Right arm Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerhard Erasmus,Namibia,Allrounder,false,true,false,29y 29d,Right hand Bat,Right arm Offbreak,4,4,1,102,93,52,34.00,109.67,,1,,10,3,4,11.0,,81,4,2/20,20.25,7.36,16.5,,,1,
JJ Smit,Namibia,Bowling Allrounder,false,false,true,28y 182d,Right hand Bat,Left arm Medium fast,4,4,1,22,30,11,7.33,73.33,,,,1,1,,,,,,,,,,,,,
Jan Frylinck,Namibia,Allrounder,false,false,false,30y 34d,Left hand Bat,Left arm Fast medium,4,3,,58,68,45,19.33,85.29,,,,8,0,,,,,,,,,,,,,
Michael van Lingen,Namibia,Bowling Allrounder,false,false,false,26y 199d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",3,3,,43,41,33,14.33,104.87,,,1,3,3,,,,,,,,,,,,,
David Wiese,Namibia,Allrounder,false,false,false,38y 358d,Right hand Bat,Right arm Medium fast,4,4,1,51,40,27,17.00,127.50,,,,2,4,4,10.1,,79,5,3/28,15.80,7.77,12.2,,,3,
Peter-Daniel Blignaut,Namibia,Bowler,false,false,false,18y 202d,Right hand Bat,Slow Left arm Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Brassell,Namibia,Bowler,false,false,false,19y 40d,Right hand Bat,Right arm Medium,2,1,1,2,3,2*,0.00,66.66,,,,0,0,,,,,,,,,,,,,
Tangeni Lungameni,Namibia,Bowler,false,false,false,32y 23d,Right hand Bat,Left arm Medium,2,1,1,,0,0*,0.00,0.00,,,,0,0,2,7.0,,57,1,1/39,57.00,8.14,42.0,,,,
Bernard Scholtz,Namibia,Bowler,false,false,false,33y 220d,Right hand Bat,Slow Left arm Orthodox,4,2,1,6,6,6*,6.00,100.00,,,1,0,0,3,10.0,,64,3,1/20,21.33,6.40,20.0,,,,
Ben Shikongo,Namibia,Bowler,false,false,false,24y 2d,Right hand Bat,Right arm Medium fast,1,1,,,4,,0.00,0.00,,,1,0,0,,,,,,,,,,,,,
Ruben Trumpelmann,Namibia,Bowler,false,false,false,26y 99d,Right hand Bat,Left arm Fast,4,2,,8,9,7,4.00,88.88,,,,0,1,4,12.0,,107,7,4/21,15.28,8.91,10.2,,,2,
Aasif Sheikh,Nepal,Wicketkeeper Batter,false,false,false,22y 314d,Right hand Bat,,3,3,,63,71,42,21.00,88.73,,,,9,1,,,,,,,,,,,,,
Dipendra Singh Airee,Nepal,Middle order Batter,false,false,false,24y 98d,Right hand Bat,"Right arm Medium, Right arm Offbreak",3,3,,32,48,25,10.66,66.66,,,,2,1,3,9.3,,49,6,3/21,8.16,5.15,9.5,,,3,
Kushal Bhurtel,Nepal,Opening Batter,false,false,false,27y 100d,Right hand Bat,Legbreak Googly,3,3,,24,39,13,8.00,61.53,,,,3,1,2,8.0,,41,4,4/19,10.25,5.12,12.0,,,,
Sundeep Jora,Nepal,Middle order Batter,false,false,false,22y 194d,Right hand Bat,,1,1,,1,8,1,1.00,12.50,,,,0,0,,,,,,,,,,,,,
Anil Sah,Nepal,Wicketkeeper,false,false,false,25y 166d,Right hand Bat,Right arm Offbreak,3,3,,38,38,27,12.66,100.00,,,1,5,1,,,,,,,,,,,,,
Rohit Paudel,Nepal,Batting Allrounder,false,true,false,21y 242d,Right hand Bat,Right arm Offbreak,3,3,,36,45,35,12.00,80.00,,,1,5,0,1,4.0,,20,2,2/20,10.00,5.00,12.0,,,,
